Book Id,Title,type,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Added,Summary,Tags,Genres,Category,Text,Linked Data,Owned Copies
600168,So Human an Animal: How We are Shaped by Surroundings and Events,book,René Dubos,"Dubos, René","David Mechanic, Jill Cooper",0765804298,9780765804297,0,3.93,Routledge,Paperback,292,1998,1968,7/25/2023,,,,,,,0
6530742,Bridging the Gap to University Mathematics,book,Edward Hurst,"Hurst, Edward",,1848002890,9781848002890,4,3.87,Springer,Paperback,360,2009,2008,11/1/2022,,,,,,,0
1443432,Critique of Everyday Life,book,Henri Lefebvre,"Lefebvre, Henri",,1844671917,9781844671915,0,4.1,Verso Books,Paperback,312,2008,1947,4/4/2023,,,,,,,0
31293622,The Constitution of Consciousness: A Study in Analytic Phenomenology (Studies in Philosophy),book,Wolfgang Huemer,"Huemer, Wolfgang",,,,0,3,Routledge,Kindle Edition,116,2005,2004,4/4/2023,,,,,,,0
13688946,Cognitive Phenomenology,book,Tim Bayne,"Bayne, Tim",Michelle Montague,0199579938,9780199579938,0,3.57,Oxford University Press,Hardcover,378,2012,2011,4/4/2023,,,,,,,0
654628,Phenomenology and Philosophy of Mind,book,David Woodruff Smith,"Smith, David Woodruff",,0199272441,9780199272440,0,3.67,Clarendon Press,Hardcover,332,2005,2005,4/4/2023,,,,,,,0
18279,Phenomenology of Perception,book,Maurice Merleau-Ponty,"Merleau-Ponty, Maurice",Colin Smith,0415278414,9780415278416,0,4.17,Routledge,Paperback,544,2005,1945,4/4/2023,,,,,,,0
584608,"Language, Truth, and Logic",book,A.J. Ayer,"Ayer, A.J.",,0486200108,9780486200101,0,3.76,Dover Publications (NYC),Paperback,160,1952,1936,4/4/2023,,,,,,,0
117833,The Master and Margarita,book,Mikhail Bulgakov,"Bulgakov, Mikhail","Hans Fronius, Diana Lewis Burgin, Ellendea Proffer, Katherine Tiernan O'Connor",0679760806,9780679760801,0,4.29,Vintage International,Paperback,372,1996,1967,4/4/2023,,,,,,,0
56215409,Foundations of Modern Physics,book,Steven Weinberg,"Weinberg, Steven",,1108841767,9781108841764,0,4.27,Cambridge University Press,Hardcover,320,2021,,1/13/2023,,,,,,,0
19169605,The Complete Idiot's Guide to Algebra,book,W. Michael Kelley,"Kelley, W. Michael",,,,5,3.61,Alpha,Kindle Edition,336,2007,2004,1/18/2021,,,,,,,0
2074648,"Self-Organized Criticality: Emergent Complex Behavior in Physical and Biological Systems (Cambridge Lecture Notes in Physics, Series Number 10)",book,Henrik Jeldtoft Jensen,"Jensen, Henrik Jeldtoft",,0521483719,9780521483711,0,3.67,Cambridge University Press,Paperback,168,1998,1998,1/2/2023,,,,,,,0
8768156,"Critical Thinking, Reading, and Writing: A Brief Guide to Argument",book,Sylvan Barnet,"Barnet, Sylvan",Hugo Bedau,0312601603,9780312601607,0,3.56,Bedford/St. Martin's,Paperback,592,2010,,3/26/2023,,,,,,,0
18288,Critique of Pure Reason,book,Immanuel Kant,"Kant, Immanuel","Paul Guyer, Allen W. Wood",0521657296,9780521657297,0,3.96,Cambridge University Press,Paperback,785,1999,1781,3/26/2023,,,,,,,0
50364458,The Tyranny of Merit: What's Become of the Common Good?,book,Michael J. Sandel,"Sandel, Michael J.",,0241407605,9780241407608,0,4.19,Allen Lane,Paperback,272,2020,2020,3/26/2023,,,,,,,0
433567,Flatland: A Romance of Many Dimensions,book,Edwin A. Abbott,"Abbott, Edwin A.",,048627263X,9780486272634,0,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,3/26/2023,,,,,,,0
489317,Essential Calculus with Applications (Dover Books on Mathematics),book,Richard A. Silverman,"Silverman, Richard A.",,0486660974,9780486660974,5,4.08,Dover Publications,Paperback,320,1989,1989,11/27/2022,,,,,,,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",book,Robert M. Pirsig,"Pirsig, Robert M.",,0060589469,9780060589462,0,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,1/15/2023,,,,,,,0
2190058,Conceptual Foundations of Modern...,book,Robert Eugene Marshak,"Marshak, Robert Eugene",,9810211066,9789810211066,0,0,World Scientific Publishing Company,Paperback,704,1993,1993,1/13/2023,,,,,,,0
586992,The Passion of the Western Mind: Understanding the Ideas that Have Shaped Our World View,book,Richard Tarnas,"Tarnas, Richard",,0345368096,9780345368096,0,4.23,Ballantine Books (NY),Paperback,560,1993,1991,12/28/2022,,,,,,,0
40717990,The Sane Society,book,Erich Fromm,"Fromm, Erich",,,,0,4.25,Open Road Media,Kindle Edition,386,2013,1955,12/28/2022,,,,,,,0
61911400,Precalculus: An Investigation of Functions,book,David Lippman,"Lippman, David",Melonie Rasmussen,1955576009,9781955576000,5,4,Tangential Projects Press,Paperback,706,2022,,9/1/2022,,,,,,,0
20932236,Essential Trigonometry: A Self-Teaching Guide,book,Tim Hill,"Hill, Tim",,,,5,4.4,Questing Vole Press,Kindle Edition,91,2013,2013,11/21/2022,,,,,,,0
